team,season,avg,oba,slg,OPS,wOBA,wRC+,WAR*,ERA,FIP,WHIP,ERA+,FIP+,WAR,wprob,POSADJ,RAAwithADJ,WAAwithADJ
·Ôµ¥,84,0.257,0.331,0.377,0.708,0.326,104.6,19.45,3.31,3.35,1.32,98.3,97.2,15.02,0.510204082,9.77,23.45,2.68
ÇØÅÂ,84,0.248,0.317,0.365,0.682,0.317,98.1,16.06,3.17,3.09,1.24,103.9,106.7,16.52,0.443298969,7.75,18.59,2.125
»ï¹Ì,84,0.237,0.312,0.339,0.651,0.302,87.5,13.18,4.05,3.68,1.41,82.8,91.3,10.42,0.391752577,11.56,27.74,3.17
MBC,83,0.256,0.323,0.354,0.677,0.312,96.2,17.73,2.72,2.99,1.19,113.6,103.5,19.56,0.56122449,9.02,21.65,2.4
ÇØÅÂ,83,0.267,0.332,0.385,0.717,0.33,109.3,20.47,3.28,2.99,1.28,99.1,109,16.63,0.555555556,7.2,17.28,1.915
»ï¹Ì,83,0.245,0.312,0.344,0.656,0.302,89.4,14.26,3.06,3.25,1.26,109.5,103.2,19.82,0.525252525,12.18,29.23,3.24
»ï¼º,83,0.263,0.333,0.393,0.726,0.332,110.3,23.31,3.42,3.37,1.3,97.8,99.3,15.08,0.479166667,8.98,21.56,2.39
OB,83,0.259,0.324,0.362,0.687,0.314,97.8,17.17,3.54,3.73,1.36,92.5,87.7,10.6,0.444444444,6.67,16.01,1.775
·Ôµ¥,83,0.244,0.314,0.366,0.68,0.313,97,16.34,3.79,3.42,1.33,87.1,96.4,11.95,0.434343434,7.8,18.72,2.075
OB,82,0.283,0.349,0.412,0.762,0.343,107.6,17.97,3.2,3.6,1.26,121.6,108.3,18.28,0.7,7.33,17.6,1.74
»ï¼º,82,0.266,0.347,0.392,0.739,0.338,104.3,18.61,2.7,3.5,1.14,147.1,113.2,21.11,0.670886076,10.51,25.23,2.495
MBC,82,0.282,0.354,0.41,0.764,0.346,109.5,19.33,3.51,3.52,1.3,113,112.6,16.09,0.582278481,9.1,21.84,2.16
ÇØÅÂ,82,0.261,0.328,0.408,0.736,0.332,100.6,15.32,3.79,3.75,1.4,101.7,102.8,11.88,0.475,5.92,14.21,1.405
·Ôµ¥,82,0.256,0.344,0.373,0.717,0.329,98.7,12.47,3.95,3.76,1.44,100.6,105.7,13.66,0.407407407,6.87,16.48,1.63
»ï¹Ì,82,0.24,0.304,0.345,0.648,0.298,79,6.11,6.14,5.15,1.71,65.5,78.2,-0.16,0.1875,9.75,23.41,2.315
